Item Id,SKU,Type,Brand,Features,Number of Wheels,Wheel Material,Material,Color,Handle Material,Weight Capacity,Handle Size,Wheel Diameter,Item Width,Suitable For,Country/Region of Manufacture,Item Height,Item Length,Style,Manufacturer Warranty,Model,Item Weight,Capacity,MPN,Custom Bundle,California Prop 65 Warning,Bundle Description,
"265644614628","ZX9OSTLI009","Lawn & Landscaping","PatioPlus","","","","","","","","","","","","","","","","","","","","PA15804","","","",
"265623489303","ZX9ORGL1496","Lawn & Landscaping","LAWNITATOR","","","","","","","","","","","","","","","","","","","","LA436242","","","",
"255483935411","ZX9TRVAL99597","Lawn & Landscaping","Terasu Garden Supplies","","","","","","","","","","","","","","","","","","","","TE947916","","","",
"265648004325","BSTWC12630","Lawn & Landscaping","Ames True Temper","","","","","Blue","","","","","","","","","","","","","","","M6T22","","","",
"255483967010","CCI520","Lawn & Landscaping","Convenience Concepts","","","","","","","","","","","","","","","","","","","","G10440","","","",
"255488850494","ZX9ASPHG035","Lawn & Landscaping","GrillsGoneWild","","","","","","","","","","","","","","","","","","","","GR38018","","","",
"265639517702","TRVAL115023","Lawn & Landscaping","Marastar","","4","","","Green","","","","","","","","","","","","","","","227554","","","",
"255464874482","ORGL1496","Lawn & Landscaping","Martin Wheel","","","","","","","","","","","","","","","","","","","","6964795","","","",
"265634295874","OSTLI009","Lawn & Landscaping","Ohio Steel Industries","","","Steel","Steel","","","","","","","","","","","","","","","","3040P-SD","","","",
"265623501317","TRDMR58033","Lawn & Landscaping","Pure Garden","","","","","","","","","","","","","","","","","","","","50-LG1082","","","",
"265644485761","TRDMR58034","Lawn & Landscaping","Pure Garden","","","","","","","","","","","","","","","","","","","","50-LG1083","","","",
"255483824964","BSTWC17386","Lawn & Landscaping","Seymour Manufacturing","","","","","","","","","","","","","","","","","","","","85718","","","",
"255488744381","SMTC022","Lawn & Landscaping","Smart Carts","","","","","","","","","","","","","","","","","","","","BLACK16XL","","","",
"265639661820","SMTC021","Lawn & Landscaping","Smart Carts","Heavy Duty","","","","","","","","","","","","","","","","","","","BLACK16","","","",
"265639686464","ZX9TRVAL69813","Lawn & Landscaping","Veranda","","","","","","","","","","","","","","","","","","","","VE138051","","","",
"265644490441","ACHR158269","Lawn & Landscaping","True Temper","","","","","","","","","","","","","","","","","","","","7673049","","","",
"255488812070","TRVAL99597","Lawn & Landscaping","WLMD-DBA WELLMADE PRODUCTS","","","","","","","","","","","","","","","","","","","","272404","","","",
"255488657040","TGBE019","Lawn & Landscaping","Yard Tuff","","","","","","","","","","","","","","","","","","","","YTF-2448MS","","","",
