Item Id,SKU,Type,Brand,Features,Age Group,Power Source,Model,Number of Wheels,Number of Speeds,Material,Maximum Load Capacity,Color,Suitable For,Item Height,Item Width,Item Length,Country/Region of Manufacture,Item Weight,Personalize,Battery Life,Manufacturer Warranty,Power,Labels & Certifications,Top Speed,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"265731461173","ZX9DRM1958","Medical Supplies","Refuah","","","","","","1","","","","","","","","","","","","","","","","RE63157","","","","",
"255576687469","DRM1958","Medical Supplies","Drive Medical","","","","","","1","","","","","","","","","","","","","","","","K318DDA-SF","","","","",
"265621708077","CMEBW3870","Medical Supplies","Complete Medical Supplies","","","","","","","","","","","","","","","","","","","","","","EBW3870","","","","",
"255463064024","GNVH1199","Medical Supplies","Geneva Healthcare","","","","","3","1","","","","","","","","","","","","","","","","60-606-00","","","","",
"255576653538","GNVH1225","Medical Supplies","Geneva Healthcare","","","","","3","1","","","","","","","","","","","","","","","","60-606-M","","","","",
"255576682850","GNVH1211","Medical Supplies","Geneva Healthcare","","","","","3","1","","","","","","","","","","","","","","","","60-700-00","","","","",
"255576640105","GNVH1257","Medical Supplies","Geneva Healthcare","","","","","3","1","","","","","","","","","","","","","","","","60-700-M","","","","",
"255576684116","GNVH1240","Medical Supplies","Geneva Healthcare","","","","","3","3","","","","","","","","","","","","","","","","60-701-00","","","","",
"265731517397","GNVH1212","Medical Supplies","Geneva Healthcare","","","","","3","1","","","","","","","","","","","","","","","","60-701-M","","","","",
"265621717093","GNVH1200","Medical Supplies","Geneva Healthcare","","","","","3","3","","","Black","","","","","","","","","","","","","60-702-B","","","","",
"255463036826","GNVH1213","Medical Supplies","Geneva Healthcare","","","","","3","3","","","","","","","","","","","","","","","","60-702-MB","","","","",
"265731460922","GNVH1192","Medical Supplies","Geneva Healthcare","","","","","","","","","","","","","","","","","","","","","","WC-21618MS-C","","","","",
"265731524391","GNVH1229","Medical Supplies","Geneva Healthcare","","","","","","","","","","","","","","","","","","","","","","WC-21818MS-C","","","","",
"255576704686","ZX9MABIS734","Medical Supplies","FitnessFreak","","","","","","","Aluminum","","","","","","","","","","","","","","","FI781008","","","","",
"265731457597","ZX9MABIS741","Medical Supplies","FitnessFreak","","","","","","","","","Black","","","","","","","","","","","","","FI93538","","","","",
"255576651431","KMPU1242","Medical Supplies","Kemp Usa","","","","","","","","","Orange","","","","","","","","","","","","","10-990-ORG","","","","",
"265731449795","MABIS734","Medical Supplies","Mabis","","","","","","","Aluminum","","","","","","","","","","","","","","","501-5012-4100","","","","",
"265641044906","DMI260","Medical Supplies","Mabis","","","","","","","","","","Shower","","","","","","","","","","","","522-1702-1900","","","","",
"265731472862","CM1R910C","Medical Supplies","Complete Medical Supplies","","","","","","","","","","","","","","","","","","","","","","1R910C","","","","",
"255576718132","ZX9DMI260","Medical Supplies","FitnessFreak","","","","","","","","","","Shower","","","","","","","","","","","","FI62023","","","","",
"255463031298","ZX9CM1941D","Medical Supplies","BETTERBODY","","","","","3","3","","","","","","","","","","","","","","","","BE1652378","","","","",
"255576682122","CM1941D","Medical Supplies","Complete Medical Supplies","","","","","3","3","","","","","","","","","","","","","","","","1941D","","","","",
"265731526476","ZX9CM1941E","Medical Supplies","BETTERBODY","","","","","4","","","","","","","","","","","","","","","","","BE1655029","","","","",
"265731475756","CM1941E","Medical Supplies","Complete Medical Supplies","","","","","4","","","","","","","","","","","","","","","","","1941E","","","","",
"255576721575","CM10948C","Medical Supplies","Complete Medical Supplies","","","","","","","","","","","","","","","","","","","","","","10948C","","","","",
"265621722808","ZX9CM10948C","Medical Supplies","BETTERBODY","","","","","","","","","","","","","","","","","","","","","","BE52318","","","","",
